industry,total_funding,status,country,region,city,funding_rounds,company_age
4212,-0.08340877328200764,3,122,226,976,0.10539657560366476,-0.6057251999109665
12732,-0.07645897305534498,3,21,79,272,-0.5818800097797329,0.07354628247505839
23072,-0.07645897305534498,3,122,858,677,-0.5818800097797329,-0.21757006711895227
7337,-0.0830727718250492,3,18,963,4006,0.10539657560366476,1.043934114455094
2352,0.0924746324543013,3,122,788,2546,1.4799497463704598,-0.31460885031695585
21566,-0.08100280590353877,3,122,788,3379,0.7926731609870624,-0.31460885031695585
14958,-0.08693713339708253,3,20,819,2045,-0.5818800097797329,-0.4116476335149594
22109,-0.07645897305534498,3,122,692,2842,-0.5818800097797329,-0.508686416712963
19559,-0.07645897305534498,3,122,539,2196,-0.5818800097797329,2.111360729633133
19559,-0.07779547309893395,3,122,664,1770,-0.5818800097797329,2.30543829602914
20419,-0.055074972357921394,3,122,663,2655,-0.5818800097797329,-0.508686416712963
4372,-0.06042097253227729,0,122,788,920,-0.5818800097797329,-0.4116476335149594
17373,-0.08661637338662118,3,122,788,2546,-0.5818800097797329,-0.6057251999109665
14958,-0.07619167304662718,3,122,68,4267,1.4799497463704598,0.6557789816630797
16027,-0.06362857263689083,3,39,537,2178,0.10539657560366476,-0.508686416712963
22831,-0.08693713339708253,3,122,738,2018,-0.5818800097797329,-0.02349250072294517
5524,-0.08447797331687881,0,122,827,3482,-0.5818800097797329,-0.12053128392094872
21566,0.14766601654432804,3,122,788,3379,-0.5818800097797329,-0.02349250072294517
6543,-0.07645897305534498,3,52,189,712,-0.5818800097797329,-0.02349250072294517
12732,-0.07359886296206457,0,122,788,3379,0.10539657560366476,-0.21757006711895227
12732,-0.050822491173229824,3,122,555,2095,4.916332673287448,-0.02349250072294517
20993,-0.030153133626467474,3,38,716,2909,2.1672263317538576,-0.21757006711895227
12295,-0.0395715718522893,3,38,620,2501,-0.5818800097797329,-0.4116476335149594
18796,-0.033690971660497816,3,21,79,272,0.7926731609870624,-0.12053128392094872
19365,-0.06576697270663319,3,122,572,2258,0.10539657560366476,-0.6057251999109665
2352,-0.0804684731861119,0,122,788,3379,0.10539657560366476,-0.31460885031695585
23072,0.09995903269839956,0,122,663,2655,-0.5818800097797329,0.7528177648610833
1623,-0.07645897305534498,3,18,930,3893,0.10539657560366476,-0.4116476335149594
12732,-0.08688367339533898,1,122,204,787,-0.5818800097797329,-0.12053128392094872
10136,-0.08661637338662118,3,122,788,3379,-0.5818800097797329,-0.70276398310897
15632,-0.07859737312508734,3,122,788,3379,0.10539657560366476,-0.508686416712963
17058,-0.08661637338662118,3,4,892,3771,-0.5818800097797329,-0.12053128392094872
23297,-0.07645897305534498,3,122,788,3379,0.10539657560366476,-0.4116476335149594
7533,0.20687903618551748,3,122,788,3016,-0.5818800097797329,-0.4116476335149594
7337,-0.06817267278509334,3,122,788,2779,0.10539657560366476,-0.4116476335149594
23072,-0.08673665839054419,3,122,114,2114,-0.5818800097797329,-0.21757006711895227
17871,-0.07645897305534498,3,18,930,2461,-0.5818800097797329,-0.508686416712963
23068,0.01976903008306114,3,21,835,3510,-0.5818800097797329,-0.31460885031695585
19732,-0.08215246324103401,3,122,788,2895,-0.5818800097797329,-0.6057251999109665
23156,-0.07645897305534498,3,30,229,4046,-0.5818800097797329,-0.508686416712963
